,Unnamed: 0,Festival,Ano,Dia,Artista,Palco,Tipo de Palco,Género,Nacionalidade,Comentários
551,1481,Paredes de Coura,2019,16/08,Jonathan Wilson,Palco Vodafone,Principal,M,,
224,1482,Marés Vivas,2015,16/07,Jonh Legend,Palco Meo,Principal,M,,
225,1483,Marés Vivas,2015,16/07,Jonh Newman,Palco Meo,Principal,M,,
378,1486,NOS Primavera Sounds,2019,8/6,Jorge Ben Jor,Palco NOS,Principal,M,,
947,1490,Super Bock Super Rock,2015,17/07,Jorge Palma & Sérgio Godinho,Palco Super Bock,Principal,M,,
802,1500,Sudoeste,2016,04/08,Josef Salvat,Palco Meo,Principal,M,,
588,1502,Rock In Rio,2012,2/06,Joss Stone,Palco Mundo,Principal,M,,
219,1504,Marés Vivas,2014,19/07,Joss Stone,,Principal,F,,
865,1503,Sudoeste,2019,10/08,Joss Stone,Palco Meo,Principal,F,,
269,1505,Marés Vivas,2018,22/07,Joss Stone,Palco Meo,Principal,F,,
564,1435,Rock In Rio,2010,22/5,João Pedro Pais,Palco Mundo,Principal,F,PT,
604,1437,Rock In Rio,2014,01/06,João Pedro Pais e Jorge Palma,Palco Mundo,Principal,F,,
532,1517,Paredes de Coura,2019,14/08,Julia Jacklin,Palco Vodafone,Principal,F,,
875,1519,Super Bock Super Rock,2010,17/07,Julian Casablancas,Palco Super bock,Principal,F,,
978,1520,Super Bock Super Rock,2018,21/07,Julian Casablancas,Palco Super Bock,Principal,F,,
982,1527,Super Bock Super Rock,2019,18/07,Jungle,Palco Super Bock,Principal,F,,
516,1526,Paredes de Coura,2018,16/08,Jungle,Palco Vodafone,Principal,F,,
70,1532,Alive,2013,13/07,Jurassic 5,Palco Optimus,Principal,B – M,,
49,1536,Alive,2012,13/07,Justice,Palco Optimus,Principal,B – M,,
349,1533,NOS Primavera Sounds,2017,8/6,Justice,Palco NOS,Principal,B – M,,
971,1535,Super Bock Super Rock,2018,19/07,Justice,Palco Super Bock,Principal,B – M,,
447,1534,Paredes de Coura,2013,17/08,Justice,Palco Vodafone,Principal,B – M,,
605,1537,Rock In Rio,2014,01/06,Justin Timberlake,Palco Mundo,Principal,B – M,,
601,1539,Rock In Rio,2012,3/06,Kaiser Chiefs,Palco Mundo,Principal,B – M,,
168,1541,Marés Vivas,2009,16/07,Kaiser Chiefs,,Principal,B – M,,
919,1540,Super Bock Super Rock,2013,19/07,Kaiser Chiefs,Palco Super Bock,Principal,B – M,,
39,1542,Alive,2011,09/07,Kaiser Chiefs,Palco Optimus,Principal,B – M,,
141,1544,Alive,2018,13/07,Kaleo,Palco NOS,Principal,B – M,,
556,1546,Paredes de Coura,2019,17/08,Kamaal Williams,Palco Vodafone FM,Principal,B – M,,
689,1547,Sudoeste,2011,05/08,Kanye West,Palco TMN,Principal,B – M,,
773,1553,Sudoeste,2014,10/08,Karetus,Palco Meo,Principal,B – M,,
849,1555,Sudoeste,2018,11/08,Karetus,Palco Meo,Principal,B – M,,
20,1560,Alive,2010,08/07,Kasabian,Palco Optimus,Principal,B – M,,
937,1559,Super Bock Super Rock,2014,19/07,Kasabian,Palco Super Bock,Principal,B – M,,
